subjectName,courseID,lecOrSection,enrollCode,days,time,location
ArtHistory,ARTHI 136W,1,WHITE J S,M W,8:00 am - 10:50am,TD-W 1530
ArtHistory,ARTHI 141B,1,T B A,,,T B A
ArtHistory,ARTHI 141C,1,T B A,,,T B A
ArtHistory,ARTHI 141E,1,ROBERTSON E B||GIMENEZ S L||,W,3:30pm - 4:45pm,ARTS 1341
ArtHistory,ARTHI 141F,1,ROBERTSON E B||GIMENEZ S L||,W,3:30pm - 4:45pm,ARTS 1341
ArtHistory,ARTHI 142E,1,WITTMAN R K,T R,3:30pm - 4:45pm,ARTS 1341
ArtHistory,ARTHI 143E,1,BACIU D C,F,9:00 am - 11:50am,ARTS 1332
ArtHistory,ARTHI 144A,1,SPIEKER S,T,5:00pm - 7:50pm,ARTS 1341
ArtHistory,ARTHI 148C,1,SORKIN JENNI,M W,11:00am - 12:15pm,ARTS 1341
ArtHistory,ARTHI 186E,1,FAUST M R,T,12:00pm - 2:50pm,ARTS 2622
ArtHistory,ARTHI 186SV,1,WELTER V W,M,9:00 am - 11:50am,ARTS 2622
ArtHistory,ARTHI 187Z,1,TRAVERS E M,R,10:00am - 12:50pm,ARTS 2622
ArtHistory,ARTHI 198,1,T B A,,,T B A
ArtHistory,ARTHI 199,1,T B A,,,T B A
ArtHistory,ARTHI 199RA,1,T B A,,,T B A
AsianAmericanStudies,AS AM 1,1,PARK L S,T R,12:30pm - 1:45pm,GIRV 1004
AsianAmericanStudies,AS AM 1,0,02493,M,12:00pm - 12:50pm,HSSB 5024
AsianAmericanStudies,AS AM 1,0,02501,M,1:00pm - 1:50pm,HSSB 5024
AsianAmericanStudies,AS AM 1,0,02519,M,2:00pm - 2:50pm,HSSB 5024
AsianAmericanStudies,AS AM 1,0,02527,F,9:00 am - 9:50 am,HSSB 1210
AsianAmericanStudies,AS AM 1,0,02535,F,10:00am - 10:50am,HSSB 1236
AsianAmericanStudies,AS AM 1,0,02543,F,11:00am - 11:50am,HSSB 5024
AsianAmericanStudies,AS AM 1,0,02550,F,12:00pm - 12:50pm,HSSB 1215
AsianAmericanStudies,AS AM 1,0,02568,F,1:00pm - 1:50pm,HSSB 1210
AsianAmericanStudies,AS AM 1,0,02576,F,2:00pm - 2:50pm,HSSB 1207
AsianAmericanStudies,AS AM 4,1,PANDYA S P,T R,11:00am - 12:15pm,EMBARHALL
AsianAmericanStudies,AS AM 4,0,02592,F,9:00 am - 9:50 am,HSSB 1207
AsianAmericanStudies,AS AM 4,0,02600,F,10:00am - 10:50am,HSSB 1232
AsianAmericanStudies,AS AM 4,0,02618,F,11:00am - 11:50am,HSSB 2251
AsianAmericanStudies,AS AM 4,0,02626,F,12:00pm - 12:50pm,HSSB 1214
AsianAmericanStudies,AS AM 4,0,02634,F,1:00pm - 1:50pm,HSSB 5024
AsianAmericanStudies,AS AM 4,0,02642,R,4:00pm - 4:50pm,GIRV 2123
AsianAmericanStudies,AS AM 4,0,02659,F,2:00pm - 2:50pm,HSSB 4202
AsianAmericanStudies,AS AM 4,0,02667,F,3:00pm - 3:50pm,HSSB 4201
AsianAmericanStudies,AS AM 4,0,02675,F,4:00pm - 4:50pm,HSSB 3201
AsianAmericanStudies,AS AM 4,0,66050,R,3:00pm - 3:50pm,GIRV 2110
AsianAmericanStudies,AS AM 5,1,NINH E K,M W,5:00pm - 6:15pm,GIRV 1004
AsianAmericanStudies,AS AM 5,0,02691,F,9:00 am - 9:50 am,HSSB 5024
