,subjectName,courseID,lecOrSection,proName,enrollCode,days,time,location
155,ArtHistory,ARTHI 6DS,0,STURMAN P C,61028,R,2:00pm - 2:50pm,ARTS 2324
156,ArtHistory,ARTHI 6DS,0,STURMAN P C,61036,R,3:00pm - 3:50pm,ARTS 2324
157,ArtHistory,ARTHI 6DS,0,STURMAN P C,61044,R,4:00pm - 4:50pm,ARTS 2324
158,ArtHistory,ARTHI 6DS,0,STURMAN P C,61051,R,5:00pm - 5:50pm,ARTS 2324
159,ArtHistory,ARTHI 6F,1,WITTMAN R K,,T R,12:30pm - 1:45pm,HSSB 1174
160,ArtHistory,ARTHI 6F,0,WITTMAN R K,61077,T,2:00pm - 2:50pm,ARTS 2324
161,ArtHistory,ARTHI 6F,0,WITTMAN R K,61101,T,3:00pm - 3:50pm,ARTS 2324
162,ArtHistory,ARTHI 6F,0,WITTMAN R K,61119,T,4:00pm - 4:50pm,ARTS 2324
163,ArtHistory,ARTHI 6F,0,WITTMAN R K,61127,T,5:00pm - 5:50pm,ARTS 2324
164,ArtHistory,ARTHI 6J,1,WHITE J S,,T R,5:00pm - 6:15pm,HSSB 1174
165,ArtHistory,ARTHI 6J,0,WHITE J S,2105,R,11:00am - 11:50am,ARTS 1332
166,ArtHistory,ARTHI 6J,0,WHITE J S,2113,R,12:00pm - 12:50pm,ARTS 1332
167,ArtHistory,ARTHI 6J,0,WHITE J S,2121,R,1:00pm - 1:50pm,ARTS 1332
168,ArtHistory,ARTHI 6J,0,WHITE J S,2139,R,2:00pm - 2:50pm,ARTS 1332
169,ArtHistory,ARTHI 109B,1,TRAVERS E M,,T R,2:00pm - 3:15pm,ARTS 1341
170,ArtHistory,ARTHI 121D,1,OGBECHIE S O,,T R,12:30pm - 1:45pm,ARTS 1341
171,ArtHistory,ARTHI 127A,1,OGBECHIE S O,,T R,8:00 am - 9:15 am,ARTS 1341
172,ArtHistory,ARTHI 132J,1,KHOURY N N,,T R,11:00am - 12:15pm,ARTS 1341
173,ArtHistory,ARTHI 134G,1,WATTLES M,,M W,9:30 am - 10:45am,ARTS 1341
174,ArtHistory,ARTHI 134J,1,WATTLES M,,M W,12:30pm - 1:45pm,ARTS 1341
175,ArtHistory,ARTHI 134K,1,STURMAN P C,,M W,11:00am - 12:15pm,ARTS 1332
176,ArtHistory,ARTHI 136I,1,CHATTOPADHYAY,,T R,9:30 am - 10:45am,ARTS 1341
177,ArtHistory,ARTHI 136M,1,WELTER V W,,M W,2:00pm - 3:15pm,ARTS 1341
178,ArtHistory,ARTHI 136W,1,WHITE J S,,M W,8:00 am - 10:50am,TD-W 1530
179,ArtHistory,ARTHI 141B,1,T B A,,,,T B A
180,ArtHistory,ARTHI 141C,1,T B A,,,,T B A
181,ArtHistory,ARTHI 141E,1,ROBERTSON E B||GIMENEZ S L||,,W,3:30pm - 4:45pm,ARTS 1341
182,ArtHistory,ARTHI 141F,1,ROBERTSON E B||GIMENEZ S L||,,W,3:30pm - 4:45pm,ARTS 1341
183,ArtHistory,ARTHI 142E,1,WITTMAN R K,,T R,3:30pm - 4:45pm,ARTS 1341
184,ArtHistory,ARTHI 143E,1,BACIU D C,,F,9:00 am - 11:50am,ARTS 1332
185,ArtHistory,ARTHI 144A,1,SPIEKER S,,T,5:00pm - 7:50pm,ARTS 1341
186,ArtHistory,ARTHI 148C,1,SORKIN JENNI,,M W,11:00am - 12:15pm,ARTS 1341
187,ArtHistory,ARTHI 186E,1,FAUST M R,,T,12:00pm - 2:50pm,ARTS 2622
188,ArtHistory,ARTHI 186SV,1,WELTER V W,,M,9:00 am - 11:50am,ARTS 2622
189,ArtHistory,ARTHI 187Z,1,TRAVERS E M,,R,10:00am - 12:50pm,ARTS 2622
190,ArtHistory,ARTHI 198,1,T B A,,,,T B A
191,ArtHistory,ARTHI 199,1,T B A,,,,T B A
192,ArtHistory,ARTHI 199RA,1,T B A,,,,T B A
193,AsianAmericanStudies,AS AM 1,1,PARK L S,,T R,12:30pm - 1:45pm,GIRV 1004
194,AsianAmericanStudies,AS AM 1,0,PARK L S,2493,M,12:00pm - 12:50pm,HSSB 5024
195,AsianAmericanStudies,AS AM 1,0,PARK L S,2501,M,1:00pm - 1:50pm,HSSB 5024
196,AsianAmericanStudies,AS AM 1,0,PARK L S,2519,M,2:00pm - 2:50pm,HSSB 5024
197,AsianAmericanStudies,AS AM 1,0,PARK L S,2527,F,9:00 am - 9:50 am,HSSB 1210
198,AsianAmericanStudies,AS AM 1,0,PARK L S,2535,F,10:00am - 10:50am,HSSB 1236
199,AsianAmericanStudies,AS AM 1,0,PARK L S,2543,F,11:00am - 11:50am,HSSB 5024
200,AsianAmericanStudies,AS AM 1,0,PARK L S,2550,F,12:00pm - 12:50pm,HSSB 1215
201,AsianAmericanStudies,AS AM 1,0,PARK L S,2568,F,1:00pm - 1:50pm,HSSB 1210
202,AsianAmericanStudies,AS AM 1,0,PARK L S,2576,F,2:00pm - 2:50pm,HSSB 1207
203,AsianAmericanStudies,AS AM 4,1,PANDYA S P,,T R,11:00am - 12:15pm,EMBARHALL
204,AsianAmericanStudies,AS AM 4,0,PANDYA S P,2592,F,9:00 am - 9:50 am,HSSB 1207
205,AsianAmericanStudies,AS AM 4,0,PANDYA S P,2600,F,10:00am - 10:50am,HSSB 1232
206,AsianAmericanStudies,AS AM 4,0,PANDYA S P,2618,F,11:00am - 11:50am,HSSB 2251
207,AsianAmericanStudies,AS AM 4,0,PANDYA S P,2626,F,12:00pm - 12:50pm,HSSB 1214
208,AsianAmericanStudies,AS AM 4,0,PANDYA S P,2634,F,1:00pm - 1:50pm,HSSB 5024
209,AsianAmericanStudies,AS AM 4,0,PANDYA S P,2642,R,4:00pm - 4:50pm,GIRV 2123
210,AsianAmericanStudies,AS AM 4,0,PANDYA S P,2659,F,2:00pm - 2:50pm,HSSB 4202
211,AsianAmericanStudies,AS AM 4,0,PANDYA S P,2667,F,3:00pm - 3:50pm,HSSB 4201
